ID	ALIGNMENT	COGID	CONCEPT	COUNTERPART	DOCULECT	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	IPA	MODIFIED	PET	PWT	TOKENS
56	- ã j ã	6	snake	ãjã	MAI	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ãjã	FALSE	PET	PWT	ã j ã
57	- ã ɲ ã	6	snake	~aja	PIR	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~aja	FALSE	PET	PWT	ã ɲ ã
58	- ã j ã	6	snake	ãjã	SEK	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ãjã	FALSE	PET	PWT	ã j ã
59	- ã j ã	6	snake	ãjã	SIO	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ãjã	FALSE	PET	PWT	ã j ã
60	- ã ɲ ã	6	snake	~aja	TAN	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~aja	FALSE	PET	PWT	ã ɲ ã
61	- ã ɲ ã	6	snake	~aja	TUK	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~aja	FALSE	PET	PWT	ã ɲ ã
62	- ã ɲ ã	6	snake	~aja	TUY	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~aja	FALSE	PET	PWT	ã ɲ ã
63	- ã ɲ ã	6	snake	~aja	WAN	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~aja	FALSE	PET	PWT	ã ɲ ã
64	- ã j a	6	snake	-	*PT	-	-	-	-	-	*ãja	FALSE	-	-	ã j a
65	- a - c i ( - - - )	7	hot	aci	BAS	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	aci	FALSE	PET	PWT	a c i
66	- a - s i ( - - - )	7	hot	asi	DES	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	asi	FALSE	PET	PWT	a s i
67	- a - s i ( - - - )	7	hot	asi	KAR	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	asi	FALSE	PET	PWT	a s i
68	- a - s u ( - - - )	7	hot	asu	KOR	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	asu	FALSE	PET	PWT	a s u
69	h a - t ɨ ( - - - )	7	hot	hatɨ	KUE	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	hatɨ	FALSE	PET	PWT	h a t ɨ
70	- a - t∫ u ( - - - )	7	hot	at∫u	MAI	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	at∫u	FALSE	PET	PWT	a t∫ u
71	h a ʔs u	7	hot	haʔsu	SIO	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	haʔsu	TRUE	PET	PWT	h a ʔs u
72	- a - s i ( - - - )	7	hot	asi	TUK	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	asi	FALSE	PET	PWT	a s i
73	- a - s i ( - - - )	7	hot	asi	TUY	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	asi	FALSE	PET	PWT	a s i
74	- - - s i ( - - - )	7	hot	si	WAN	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	si	FALSE	PET	PWT	s i
75	a h ts i a m a	7	hot	ahtsiama	YUP	quente	GLOSA 2 ENGL	heat	GLOSA 3 PORT	GLOSS 3 ENGL	ahtsiama	TRUE	PET	PWT	a h ts i a m a
76	a t j ɨ	7	hot	-	*PT	-	-	-	-	-	*atjɨ	FALSE	-	-	a t j ɨ
77	ĩ - ŋ - ẽ ( - - )	8	nose	~ige	BAS	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ige	FALSE	PET	PWT	ĩ ŋ ẽ
78	ĩ ʔŋ ĩ	8	nose	~iʔgi	DES	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~iʔgi	FALSE	PET	PWT	ĩ ʔŋ ĩ
79	ɨ̃ - k - ẽ ( - - )	8	nose	~ɨke	KAR	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨke	FALSE	PET	PWT	ɨ̃ k ẽ
80	ɨ̃ - kh - e ( - - )	8	nose	ɨ̃khe	KOR	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨ̃khe	FALSE	PET	PWT	ɨ̃ kh e
81	ũ - - - e ( k a )	8	nose	ũeka	KUB	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ũeka	FALSE	PET	PWT	ũ e k a
82	- - k - o ( m e )	8	nose	kome	KUE	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	kome	FALSE	PET	PWT	k o m e
83	ũ - k u e ( - - )	8	nose	ũkue	MAI	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ũkue	FALSE	PET	PWT	ũ k u e
84	õ - k w e ( - - )	8	nose	õkwe	SEK	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	õkwe	FALSE	PET	PWT	õ k w e
85	ũ - k u e ( - - )	8	nose	ũkue	SIO	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ũkue	FALSE	PET	PWT	ũ k u e
86	õ - m - ẽ ( - - )	8	nose	~obe	TAN	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~obe	FALSE	PET	PWT	õ m ẽ
87	ẽ ʔk ẽ	8	nose	~eʔke	TUK	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~eʔke	FALSE	PET	PWT	ẽ ʔk ẽ
88	ẽ - k - ẽ ( - ã )	8	nose	~ekea	TUY	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ekea	FALSE	PET	PWT	ẽ k ẽ ã
89	- - k - ẽ ( - - )	8	nose	~ke	WAN	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ke	FALSE	PET	PWT	k ẽ
90	ɨ - g - ɨ ( - - )	8	nose	ɨgɨ	YUP	nariz	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨgɨ	FALSE	PET	PWT	ɨ g ɨ
91	ɨ̃ k wʔ e	8	nose	-	*PT	-	-	-	-	-	*ɨ̃kwʔe	TRUE	-	-	ɨ̃ k wʔ e
92	ɨ̃ m ɨ̃	9	man	~ɨbɨ	BAS	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨbɨ	FALSE	PET	PWT	ɨ̃ m ɨ̃
93	ɨ̃ m ɨ̃	9	man	~ɨbɨ	DES	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨbɨ	FALSE	PET	PWT	ɨ̃ m ɨ̃
94	- m ɨ̃	9	man	~bɨ	KAR	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bɨ	FALSE	PET	PWT	m ɨ̃
95	ɨ m ɨ	9	man	ɨmɨ	KOR	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨmɨ	FALSE	PET	PWT	ɨ m ɨ
96	ɨ̃ m ɨ̃	9	man	~ɨbɨ	KUB	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨbɨ	FALSE	PET	PWT	ɨ̃ m ɨ̃
97	ɨ m ɨ	9	man	ɨmɨ	MAI	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨmɨ	FALSE	PET	PWT	ɨ m ɨ
98	ɨ̃ m ɨ̃	9	man	ɨ̃mɨ̃	SEK	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨ̃mɨ̃	FALSE	PET	PWT	ɨ̃ m ɨ̃
99	ɨ m ɨ	9	man	ɨmɨ	SIO	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨmɨ	FALSE	PET	PWT	ɨ m ɨ
100	ɨ̃ m ɨ̃	9	man	~ɨbɨ	TAN	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨbɨ	FALSE	PET	PWT	ɨ̃ m ɨ̃
101	ɨ̃ m ɨ̃	9	man	~ɨbɨ	TUK	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨbɨ	FALSE	PET	PWT	ɨ̃ m ɨ̃
102	ɨ̃ m ɨ̃	9	man	~ɨbɨ	TUY	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨbɨ	FALSE	PET	PWT	ɨ̃ m ɨ̃
103	ɨ̃ m ɨ̃	9	man	~ɨbɨ	WAN	homem	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨbɨ	FALSE	PET	PWT	ɨ̃ m ɨ̃
104	ɨ m ɨ	9	man	-	*PT	-	-	-	-	-	*ɨmɨ	FALSE	-	-	ɨ m ɨ
105	ɨ̃ - n ẽ	10	pupunha	~ɨde	BAS	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨde	FALSE	PET	PWT	ɨ̃ n ẽ
106	ɨ̃ - n ĩ	10	pupunha	~ɨdi	DES	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨdi	FALSE	PET	PWT	ɨ̃ n ĩ
107	ɨ̃ - n ẽ	10	pupunha	~ɨde	KAR	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨde	FALSE	PET	PWT	ɨ̃ n ẽ
108	ɨ - n e	10	pupunha	ɨne	KOR	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨne	FALSE	PET	PWT	ɨ n e
109	ɨ̃ - n ẽ	10	pupunha	~ɨde	KUB	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨde	FALSE	PET	PWT	ɨ̃ n ẽ
110	ɨ ʔn e	10	pupunha	ɨʔne	KUE	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨʔne	FALSE	PET	PWT	ɨ ʔn e
111	ɨ̃ - n ẽ	10	pupunha	~ɨde	PIR	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨde	FALSE	PET	PWT	ɨ̃ n ẽ
112	ɨ - n e	10	pupunha	ɨne	SIO	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨne	FALSE	PET	PWT	ɨ n e
113	ĩ - r̃ ẽ	10	pupunha	~ire	TAN	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ire	FALSE	PET	PWT	ĩ r̃ ẽ
114	ɨ̃ - n ẽ	10	pupunha	~ɨde	TUK	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨde	FALSE	PET	PWT	ɨ̃ n ẽ
115	ɨ̃ - n ẽ	10	pupunha	~ɨde	WAN	pupunha	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~ɨde	FALSE	PET	PWT	ɨ̃ n ẽ
116	ɨ n e	10	pupunha	-	*PT	-	-	-	-	-	*ɨne	FALSE	-	-	ɨ n e
117	i - d i a	11	three	idia	BAS	três	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	idia	FALSE	*ɨtʔia	PWT	i d i a
118	ɨ ʔd e	11	three	ɨʔde	DES	três	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨʔde	FALSE	*ɨtʔia	PWT	ɨ ʔd e
119	i - t i a	11	three	itia	KUE	três	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	itia	FALSE	*ɨtʔia	PWT	i t i a
120	i ʔt i a	11	three	iʔtia	TUK	três	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	iʔtia	FALSE	*ɨtʔia	PWT	i ʔt i a
121	i - t i a	11	three	itia	TUY	três	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	itia	FALSE	*ɨtʔia	PWT	i t i a
122	- - t i a	11	three	tia	WAN	três	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	tia	FALSE	*ɨtʔia	PWT	t i a
123	ɨ tʔ i a	11	three	-	*PT	-	-	-	-	-	*ɨtʔia	TRUE	-	-	ɨ tʔ i a
124	ɨ - j e -	12	grape	ɨje	BAS	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨje	FALSE	PET	PWT	ɨ j e
125	i - g i -	12	grape	igi	DES	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	igi	FALSE	PET	PWT	i g i
126	ɨ - s e -	12	grape	ɨse	KAR	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨse	FALSE	PET	PWT	ɨ s e
127	ɨ - j e -	12	grape	ɨje	KOR	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨje	FALSE	PET	PWT	ɨ j e
128	ɨ́ - j a i	12	grape	ɨ́jai	KUB	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨ́jai	FALSE	PET	PWT	ɨ́ j a i
129	e - d e -	12	grape	ede	MAI	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ede	FALSE	PET	PWT	e d e
130	ɨ - j e -	12	grape	ɨje	SIO	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨje	FALSE	PET	PWT	ɨ j e
131	ɨ ʔs e	12	grape	ɨʔse	TUK	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨʔse	FALSE	PET	PWT	ɨ ʔs e
132	ɨ - s e -	12	grape	ɨse	TUY	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨse	FALSE	PET	PWT	ɨ s e
133	- - s e -	12	grape	se	WAN	cucura	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	se	FALSE	PET	PWT	s e
134	ɨ ʔj e	12	grape	-	*PT	-	-	-	-	-	*ɨʔje	TRUE	-	-	ɨ ʔj e
135	j e h e	13	heron	jehe	BAS	garça	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	jehe	FALSE	PET	PWT	j e h e
136	j a h i	13	heron	jahi	DES	garça	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	jahi	FALSE	PET	PWT	j a h i
137	j e - e	13	heron	jee	KAR	garça	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	jee	FALSE	PET	PWT	j e e
